limited Solar_eclipse_of_August_21,_2017.txt 1 3824 
220 Solar_eclipse_of_August_21,_2017.txt 1 3346 
portions Solar_eclipse_of_August_21,_2017.txt 2 882 3825 
extremity Solar_eclipse_of_August_21,_2017.txt 1 91 
inside Solar_eclipse_of_August_21,_2017.txt 1 2948 
maximum Solar_eclipse_of_August_21,_2017.txt 2 1465 4870 
unusually Solar_eclipse_of_August_21,_2017.txt 1 2131 
150 Solar_eclipse_of_August_21,_2017.txt 1 3079 
covers Solar_eclipse_of_August_21,_2017.txt 1 4310 
46,000 Solar_eclipse_of_August_21,_2017.txt 1 4345 
accounting Solar_eclipse_of_August_21,_2017.txt 1 1316 
looked Solar_eclipse_of_August_21,_2017.txt 1 1992 
ravenna Solar_eclipse_of_August_21,_2017.txt 1 1275 
no Solar_eclipse_of_August_21,_2017.txt 4 117 2025 2426 3703 
generally Solar_eclipse_of_August_21,_2017.txt 1 3639 
eclipseville Solar_eclipse_of_August_21,_2017.txt 1 4247 
operators Solar_eclipse_of_August_21,_2017.txt 1 4392 
nv Solar_eclipse_of_August_21,_2017.txt 2 4433 4466 
picture Solar_eclipse_of_August_21,_2017.txt 1 3482 
journey Solar_eclipse_of_August_21,_2017.txt 1 3524 
yellowstone Solar_eclipse_of_August_21,_2017.txt 1 1264 
authorities Solar_eclipse_of_August_21,_2017.txt 1 3936 
hopkinsville Solar_eclipse_of_August_21,_2017.txt 3 498 609 4242 
obscuration Solar_eclipse_of_August_21,_2017.txt 1 1466 
ottawa Solar_eclipse_of_August_21,_2017.txt 1 1378 
time Solar_eclipse_of_August_21,_2017.txt 3 524 643 1754 
focus Solar_eclipse_of_August_21,_2017.txt 1 2572 
marion Solar_eclipse_of_August_21,_2017.txt 1 1115 
93 Solar_eclipse_of_August_21,_2017.txt 1 3572 
caldwell Solar_eclipse_of_August_21,_2017.txt 1 1882 
certification Solar_eclipse_of_August_21,_2017.txt 2 2330 2491 
megawatts Solar_eclipse_of_August_21,_2017.txt 4 4346 4368 4399 4496 
finally Solar_eclipse_of_August_21,_2017.txt 1 512 
prolonging Solar_eclipse_of_August_21,_2017.txt 1 640 
permanently Solar_eclipse_of_August_21,_2017.txt 1 2765 
supplies Solar_eclipse_of_August_21,_2017.txt 1 3095 
circumstances Solar_eclipse_of_August_21,_2017.txt 2 2070 4285 
southwest Solar_eclipse_of_August_21,_2017.txt 1 1184 
ballooning Solar_eclipse_of_August_21,_2017.txt 1 1796 
smartphone Solar_eclipse_of_August_21,_2017.txt 1 289 
octon Solar_eclipse_of_August_21,_2017.txt 1 4907 
advised Solar_eclipse_of_August_21,_2017.txt 2 3015 4228 
minute Solar_eclipse_of_August_21,_2017.txt 1 4370 
ophthalmologist Solar_eclipse_of_August_21,_2017.txt 1 2631 
clouds Solar_eclipse_of_August_21,_2017.txt 3 551 639 4316 
presented Solar_eclipse_of_August_21,_2017.txt 1 1726 
did Solar_eclipse_of_August_21,_2017.txt 3 2039 2732 3361 
turns Solar_eclipse_of_August_21,_2017.txt 1 4583 
proposals Solar_eclipse_of_August_21,_2017.txt 1 316 
hawaii Solar_eclipse_of_August_21,_2017.txt 2 258 836 
standards Solar_eclipse_of_August_21,_2017.txt 1 2510 
leave Solar_eclipse_of_August_21,_2017.txt 4 3284 4117 4120 4123 
20152018 Solar_eclipse_of_August_21,_2017.txt 1 4750 
eclipse Solar_eclipse_of_August_21,_2017.txt 127 1 9 18 26 50 100 119 138 142 168 211 222 255 281 322 338 356 415 518 618 628 651 679 718 744 752 817 849 862 898 925 937 958 995 1013 1038 1048 1141 1157 1176 1205 1213 1229 1251 1262 1273 1286 1347 1355 1414 1454 1476 1500 1526 1533 1559 1578 1611 1702 1771 1795 1814 1929 1960 2015 2047 2072 2163 2186 2200 2210 2321 2384 2448 2470 2501 2666 2686 2704 2721 2741 2775 2806 2862 2880 2916 2946 3139 3199 3216 3235 3287 3305 3369 3444 3656 3746 3849 3874 3952 4051 4130 4165 4202 4298 4335 4390 4439 4451 4488 4511 4545 4566 4575 4608 4672 4695 4706 4718 4726 4736 4784 4810 4820 4854 4861 4958 
slowed Solar_eclipse_of_August_21,_2017.txt 1 3401 
cost Solar_eclipse_of_August_21,_2017.txt 1 2918 
crescent Solar_eclipse_of_August_21,_2017.txt 1 2802 
36.96667 Solar_eclipse_of_August_21,_2017.txt 1 598 
international Solar_eclipse_of_August_21,_2017.txt 3 1598 1654 1938 
transportation Solar_eclipse_of_August_21,_2017.txt 4 3312 3591 3992 4188 
annular Solar_eclipse_of_August_21,_2017.txt 4 388 4717 4819 4935 
caiso Solar_eclipse_of_August_21,_2017.txt 1 4361 
emergency-aid Solar_eclipse_of_August_21,_2017.txt 1 4140 
corporation Solar_eclipse_of_August_21,_2017.txt 1 4322 
congestion Solar_eclipse_of_August_21,_2017.txt 1 4026 
along Solar_eclipse_of_August_21,_2017.txt 14 238 532 879 1638 1643 1711 1914 3104 3261 3317 3378 3418 3449 3966 
appears Solar_eclipse_of_August_21,_2017.txt 1 394 
box Solar_eclipse_of_August_21,_2017.txt 1 3393 
exploratorium Solar_eclipse_of_August_21,_2017.txt 1 1774 
usually Solar_eclipse_of_August_21,_2017.txt 3 2098 2537 2567 
influx Solar_eclipse_of_August_21,_2017.txt 3 345 2962 3083 
marked Solar_eclipse_of_August_21,_2017.txt 2 282 1749 
coinciding Solar_eclipse_of_August_21,_2017.txt 1 319 
shelley Solar_eclipse_of_August_21,_2017.txt 1 3426 
market Solar_eclipse_of_August_21,_2017.txt 1 3123 
hotels Solar_eclipse_of_August_21,_2017.txt 1 3159 
everybody Solar_eclipse_of_August_21,_2017.txt 1 2065 
bulbs Solar_eclipse_of_August_21,_2017.txt 2 2246 2252 
working Solar_eclipse_of_August_21,_2017.txt 1 4125 
prove Solar_eclipse_of_August_21,_2017.txt 1 4225 
10:15 Solar_eclipse_of_August_21,_2017.txt 1 468 
10:16 Solar_eclipse_of_August_21,_2017.txt 1 229 
france Solar_eclipse_of_August_21,_2017.txt 1 1515 
retinopathy Solar_eclipse_of_August_21,_2017.txt 1 2555 
live Solar_eclipse_of_August_21,_2017.txt 3 1304 1696 2851 
21ing Solar_eclipse_of_August_21,_2017.txt 1 3772 
oregon Solar_eclipse_of_August_21,_2017.txt 17 206 440 484 537 909 1209 1215 1224 1234 1247 1850 1880 3072 3110 3141 3237 3249 
cases Solar_eclipse_of_August_21,_2017.txt 2 2676 3033 
capturing Solar_eclipse_of_August_21,_2017.txt 1 307 
states Solar_eclipse_of_August_21,_2017.txt 31 37 128 151 158 186 376 381 386 404 409 439 549 624 809 822 845 874 906 942 954 989 1032 1340 2635 3089 3208 3989 4448 4480 4929 4941 
car Solar_eclipse_of_August_21,_2017.txt 2 3417 3800 
incidents Solar_eclipse_of_August_21,_2017.txt 1 3931 
can Solar_eclipse_of_August_21,_2017.txt 6 2291 2577 2588 2619 2735 2748 
believed Solar_eclipse_of_August_21,_2017.txt 1 1863 
making Solar_eclipse_of_August_21,_2017.txt 2 990 2167 
arrive Solar_eclipse_of_August_21,_2017.txt 2 3246 3802 
trump Solar_eclipse_of_August_21,_2017.txt 3 1974 1984 1991 
stream Solar_eclipse_of_August_21,_2017.txt 1 1766 
december Solar_eclipse_of_August_21,_2017.txt 1 4720 
nascar Solar_eclipse_of_August_21,_2017.txt 1 4071 
heard Solar_eclipse_of_August_21,_2017.txt 1 110 
dropped Solar_eclipse_of_August_21,_2017.txt 1 4523 
allowed Solar_eclipse_of_August_21,_2017.txt 1 3993 
occur Solar_eclipse_of_August_21,_2017.txt 7 399 2292 2538 2578 4644 4863 4897 
sudden Solar_eclipse_of_August_21,_2017.txt 1 2961 
mid-august Solar_eclipse_of_August_21,_2017.txt 1 2493 
sunday Solar_eclipse_of_August_21,_2017.txt 1 3866 
elephant Solar_eclipse_of_August_21,_2017.txt 1 1779 
five-year Solar_eclipse_of_August_21,_2017.txt 2 3778 3856 
map Solar_eclipse_of_August_21,_2017.txt 1 1557 
staying Solar_eclipse_of_August_21,_2017.txt 1 3135 
145 Solar_eclipse_of_August_21,_2017.txt 2 4780 4791 
may Solar_eclipse_of_August_21,_2017.txt 2 2505 3759 
southern Solar_eclipse_of_August_21,_2017.txt 2 881 1062 
motorists Solar_eclipse_of_August_21,_2017.txt 2 3495 4154 
explored Solar_eclipse_of_August_21,_2017.txt 1 1672 
date Solar_eclipse_of_August_21,_2017.txt 1 4903 
such Solar_eclipse_of_August_21,_2017.txt 6 285 935 994 1443 2135 2358 
data Solar_eclipse_of_August_21,_2017.txt 1 1957 
grow Solar_eclipse_of_August_21,_2017.txt 1 2117 
man Solar_eclipse_of_August_21,_2017.txt 1 1907 
natural Solar_eclipse_of_August_21,_2017.txt 3 1846 4666 4675 
maybe Solar_eclipse_of_August_21,_2017.txt 1 4084 
corona Solar_eclipse_of_August_21,_2017.txt 1 1923 
st Solar_eclipse_of_August_21,_2017.txt 1 495 
so Solar_eclipse_of_August_21,_2017.txt 3 1669 1674 4602 
pulled Solar_eclipse_of_August_21,_2017.txt 1 2498 
typical Solar_eclipse_of_August_21,_2017.txt 2 4363 4507 
displayed Solar_eclipse_of_August_21,_2017.txt 1 2104 
years Solar_eclipse_of_August_21,_2017.txt 8 1107 1154 2958 3056 4009 4795 4889 4916 
ended Solar_eclipse_of_August_21,_2017.txt 3 237 270 3212 
experiments Solar_eclipse_of_August_21,_2017.txt 1 1817 
birds Solar_eclipse_of_August_21,_2017.txt 1 2125 
blocked Solar_eclipse_of_August_21,_2017.txt 1 2404 
group Solar_eclipse_of_August_21,_2017.txt 1 703 
decreases Solar_eclipse_of_August_21,_2017.txt 1 4516 
1.0306 Solar_eclipse_of_August_21,_2017.txt 1 420 
main Solar_eclipse_of_August_21,_2017.txt 1 4540 
decades Solar_eclipse_of_August_21,_2017.txt 1 946 
thereby Solar_eclipse_of_August_21,_2017.txt 1 1142 
views Solar_eclipse_of_August_21,_2017.txt 2 2160 4681 
100,000 Solar_eclipse_of_August_21,_2017.txt 1 1868 
half Solar_eclipse_of_August_21,_2017.txt 2 4008 4290 
not Solar_eclipse_of_August_21,_2017.txt 16 133 195 1561 2040 2213 2338 2388 2456 2506 2727 2753 3055 3381 3694 4114 4155 
ordinary Solar_eclipse_of_August_21,_2017.txt 1 4220 
name Solar_eclipse_of_August_21,_2017.txt 1 2357 
january Solar_eclipse_of_August_21,_2017.txt 1 4812 
drop Solar_eclipse_of_August_21,_2017.txt 1 4432 
quarter Solar_eclipse_of_August_21,_2017.txt 1 4505 
square Solar_eclipse_of_August_21,_2017.txt 1 1079 
sunwill Solar_eclipse_of_August_21,_2017.txt 1 398 
pointsfrom Solar_eclipse_of_August_21,_2017.txt 1 1677 
abnormal Solar_eclipse_of_August_21,_2017.txt 1 2076 
begun Solar_eclipse_of_August_21,_2017.txt 1 3696 
year Solar_eclipse_of_August_21,_2017.txt 1 3307 
morning Solar_eclipse_of_August_21,_2017.txt 2 3366 3384 
sunrise Solar_eclipse_of_August_21,_2017.txt 1 261 
zeiler Solar_eclipse_of_August_21,_2017.txt 1 3214 
canada Solar_eclipse_of_August_21,_2017.txt 4 60 1351 1362 1385 
jackson Solar_eclipse_of_August_21,_2017.txt 1 2999 
space Solar_eclipse_of_August_21,_2017.txt 5 1388 1599 1655 1678 1939 
increase Solar_eclipse_of_August_21,_2017.txt 3 3789 3871 4169 
internet Solar_eclipse_of_August_21,_2017.txt 1 1615 
sensor Solar_eclipse_of_August_21,_2017.txt 2 2843 2856 
shows Solar_eclipse_of_August_21,_2017.txt 1 2062 
attended Solar_eclipse_of_August_21,_2017.txt 1 4099 
monster Solar_eclipse_of_August_21,_2017.txt 1 4072 
cars Solar_eclipse_of_August_21,_2017.txt 1 3775 
million Solar_eclipse_of_August_21,_2017.txt 8 1311 2158 3070 3223 3226 3241 3812 4506 
california Solar_eclipse_of_August_21,_2017.txt 3 4337 4394 4454 
6:20 Solar_eclipse_of_August_21,_2017.txt 1 266 
advance Solar_eclipse_of_August_21,_2017.txt 3 3058 3309 4442 
unfrosted Solar_eclipse_of_August_21,_2017.txt 1 2250 
listings Solar_eclipse_of_August_21,_2017.txt 1 2499 
british Solar_eclipse_of_August_21,_2017.txt 1 1369 
place Solar_eclipse_of_August_21,_2017.txt 4 318 333 4205 4728 
charleston Solar_eclipse_of_August_21,_2017.txt 1 513 
first Solar_eclipse_of_August_21,_2017.txt 10 284 459 615 814 839 961 993 1981 4555 4818 
origin Solar_eclipse_of_August_21,_2017.txt 1 2481 
one Solar_eclipse_of_August_21,_2017.txt 12 326 697 1830 2431 2682 2786 2900 3240 3790 3811 3912 3964 
sunlight Solar_eclipse_of_August_21,_2017.txt 1 4476 
suspended Solar_eclipse_of_August_21,_2017.txt 1 3314 
ring Solar_eclipse_of_August_21,_2017.txt 2 1236 4642 
open Solar_eclipse_of_August_21,_2017.txt 1 3333 
city Solar_eclipse_of_August_21,_2017.txt 6 493 579 3358 3400 3517 3545 
given Solar_eclipse_of_August_21,_2017.txt 1 1858 
necessarily Solar_eclipse_of_August_21,_2017.txt 1 2393 
silent Solar_eclipse_of_August_21,_2017.txt 1 2121 
bite Solar_eclipse_of_August_21,_2017.txt 1 3100 
2 Solar_eclipse_of_August_21,_2017.txt 2 565 4710 
white Solar_eclipse_of_August_21,_2017.txt 1 1968 
eyes Solar_eclipse_of_August_21,_2017.txt 2 2283 2312 
mostly Solar_eclipse_of_August_21,_2017.txt 1 3274 
that Solar_eclipse_of_August_21,_2017.txt 33 31 824 1659 1691 1804 1859 2020 2387 2399 2412 2504 2636 2821 2892 3220 3247 3277 3501 3516 3525 3532 3612 3635 3751 3810 3894 3959 3994 4014 4062 4111 4215 4912 
pittsburgh Solar_eclipse_of_August_21,_2017.txt 1 2438 
season Solar_eclipse_of_August_21,_2017.txt 2 3091 4737 
southbound Solar_eclipse_of_August_21,_2017.txt 2 3451 3888 
broadcast Solar_eclipse_of_August_21,_2017.txt 2 1607 1695 
released Solar_eclipse_of_August_21,_2017.txt 2 4553 4597 
flowers Solar_eclipse_of_August_21,_2017.txt 1 2134 
than Solar_eclipse_of_August_21,_2017.txt 9 396 1105 1200 3272 3447 3646 3776 3876 3935 
population Solar_eclipse_of_August_21,_2017.txt 1 3753 
11 Solar_eclipse_of_August_21,_2017.txt 3 827 1372 4796 
wide Solar_eclipse_of_August_21,_2017.txt 1 432 
television Solar_eclipse_of_August_21,_2017.txt 2 1613 1697 
12 Solar_eclipse_of_August_21,_2017.txt 3 380 1160 4877 
15 Solar_eclipse_of_August_21,_2017.txt 2 3319 3421 
third Solar_eclipse_of_August_21,_2017.txt 1 3782 
17 Solar_eclipse_of_August_21,_2017.txt 3 4446 4832 4857 
16 Solar_eclipse_of_August_21,_2017.txt 1 178 
19 Solar_eclipse_of_August_21,_2017.txt 1 4888 
18 Solar_eclipse_of_August_21,_2017.txt 2 3852 4794 
future Solar_eclipse_of_August_21,_2017.txt 1 368 
were Solar_eclipse_of_August_21,_2017.txt 24 301 341 732 768 1381 1394 2114 2126 2204 2392 2680 3102 3112 3201 3243 3341 3658 3750 3830 3928 3998 4143 4235 4380 
russia Solar_eclipse_of_August_21,_2017.txt 1 1450 
and Solar_eclipse_of_August_21,_2017.txt 125 72 159 269 290 299 310 323 331 382 387 405 421 454 477 500 511 546 555 587 610 689 693 765 789 799 837 866 912 970 1090 1116 1123 1189 1238 1259 1387 1399 1424 1426 1429 1447 1493 1517 1572 1583 1587 1614 1628 1650 1671 1682 1688 1718 1735 1760 1789 1802 1822 1911 1951 1954 2028 2054 2080 2095 2108 2222 2253 2265 2288 2313 2373 2482 2485 2497 2511 2542 2546 2587 2602 2606 2764 2828 2864 2876 2912 2949 2972 3014 3026 3030 3042 3078 3094 3098 3125 3149 3170 3224 3264 3427 3474 3573 3807 3889 3915 3932 3978 4006 4038 4175 4193 4227 4288 4326 4350 4378 4411 4414 4443 4712 4745 4766 4815 4834 
san Solar_eclipse_of_August_21,_2017.txt 1 1776 
locations Solar_eclipse_of_August_21,_2017.txt 1 1568 
avnish Solar_eclipse_of_August_21,_2017.txt 1 2628 
recover Solar_eclipse_of_August_21,_2017.txt 1 2736 
saw Solar_eclipse_of_August_21,_2017.txt 2 1498 3867 
any Solar_eclipse_of_August_21,_2017.txt 2 2458 4311 
874018w Solar_eclipse_of_August_21,_2017.txt 1 595 
consortium Solar_eclipse_of_August_21,_2017.txt 1 1799 
masse Solar_eclipse_of_August_21,_2017.txt 1 4256 
equipment Solar_eclipse_of_August_21,_2017.txt 3 1836 2281 2809 
take Solar_eclipse_of_August_21,_2017.txt 1 4204 
online Solar_eclipse_of_August_21,_2017.txt 1 2172 
coincide Solar_eclipse_of_August_21,_2017.txt 1 335 
channel Solar_eclipse_of_August_21,_2017.txt 2 1716 1721 
blackfoot Solar_eclipse_of_August_21,_2017.txt 1 3547 
begin Solar_eclipse_of_August_21,_2017.txt 1 3608 
fireworks Solar_eclipse_of_August_21,_2017.txt 1 4082 
pain Solar_eclipse_of_August_21,_2017.txt 3 2286 2545 2601 
normal Solar_eclipse_of_August_21,_2017.txt 3 4045 4279 4284 
azores Solar_eclipse_of_August_21,_2017.txt 1 1496 
backyards Solar_eclipse_of_August_21,_2017.txt 1 3034 
paid Solar_eclipse_of_August_21,_2017.txt 1 3172 
falls Solar_eclipse_of_August_21,_2017.txt 4 486 3441 3494 3541 
visitors Solar_eclipse_of_August_21,_2017.txt 3 347 3065 3085 
complaints Solar_eclipse_of_August_21,_2017.txt 1 3148 
america Solar_eclipse_of_August_21,_2017.txt 9 68 295 668 686 1406 1410 1419 1442 4701 
forever Solar_eclipse_of_August_21,_2017.txt 1 4570 
especially Solar_eclipse_of_August_21,_2017.txt 1 348 
refunds Solar_eclipse_of_August_21,_2017.txt 2 2513 3166 
considered Solar_eclipse_of_August_21,_2017.txt 1 4088 
average Solar_eclipse_of_August_21,_2017.txt 2 3779 3857 
later Solar_eclipse_of_August_21,_2017.txt 1 2048 
sale Solar_eclipse_of_August_21,_2017.txt 2 353 2208 
sunset Solar_eclipse_of_August_21,_2017.txt 5 1345 1484 1519 1538 1585 
30,000 Solar_eclipse_of_August_21,_2017.txt 1 1870 
typically Solar_eclipse_of_August_21,_2017.txt 1 2143 
moon Solar_eclipse_of_August_21,_2017.txt 6 393 661 4308 4593 4632 4662 
precise Solar_eclipse_of_August_21,_2017.txt 1 2661 
solar Solar_eclipse_of_August_21,_2017.txt 47 0 8 25 49 118 280 370 389 617 627 650 816 897 1047 1098 1150 1156 1900 1942 1950 2003 2014 2152 2191 2526 2554 2685 4294 4303 4312 4338 4402 4431 4438 4487 4514 4521 4534 4544 4705 4748 4759 4783 4809 4924 4936 4957 
show Solar_eclipse_of_August_21,_2017.txt 1 3769 
cornea Solar_eclipse_of_August_21,_2017.txt 1 2535 
bright Solar_eclipse_of_August_21,_2017.txt 1 763 
ground Solar_eclipse_of_August_21,_2017.txt 3 560 1637 1685 
aint Solar_eclipse_of_August_21,_2017.txt 2 2023 2030 
2522 Solar_eclipse_of_August_21,_2017.txt 1 4867 
enough Solar_eclipse_of_August_21,_2017.txt 1 2263 
only Solar_eclipse_of_August_21,_2017.txt 8 87 832 904 1457 1485 1539 2214 2233 
going Solar_eclipse_of_August_21,_2017.txt 1 2120 
threefold Solar_eclipse_of_August_21,_2017.txt 1 3130 
awareness Solar_eclipse_of_August_21,_2017.txt 1 2295 
interstate Solar_eclipse_of_August_21,_2017.txt 7 3318 3391 3489 3739 3967 3980 4261 
get Solar_eclipse_of_August_21,_2017.txt 1 3737 
between Solar_eclipse_of_August_21,_2017.txt 5 608 2370 3221 3425 3976 
nearly Solar_eclipse_of_August_21,_2017.txt 4 3023 3036 3568 4899 
prime Solar_eclipse_of_August_21,_2017.txt 1 3011 
i-15 Solar_eclipse_of_August_21,_2017.txt 5 3379 3419 3435 3450 3586 
1822 Solar_eclipse_of_August_21,_2017.txt 1 3326 
miles Solar_eclipse_of_August_21,_2017.txt 11 429 1080 1733 3038 3347 3404 3422 3512 3549 3904 3971 
predicted Solar_eclipse_of_August_21,_2017.txt 2 540 4323 
post-eclipse Solar_eclipse_of_August_21,_2017.txt 2 3176 4249 
where Solar_eclipse_of_August_21,_2017.txt 9 677 2656 2854 3291 3339 4199 4306 4624 4654 
vision Solar_eclipse_of_August_21,_2017.txt 7 2052 2593 2596 2610 2617 2662 2768 
burst Solar_eclipse_of_August_21,_2017.txt 1 1866 
ends Solar_eclipse_of_August_21,_2017.txt 2 4650 4847 
1927 Solar_eclipse_of_August_21,_2017.txt 1 4840 
calendar Solar_eclipse_of_August_21,_2017.txt 1 4902 
concern Solar_eclipse_of_August_21,_2017.txt 1 2994 
camping Solar_eclipse_of_August_21,_2017.txt 1 2990 
federal Solar_eclipse_of_August_21,_2017.txt 1 1324 
knoxville Solar_eclipse_of_August_21,_2017.txt 2 3942 4028 
sites Solar_eclipse_of_August_21,_2017.txt 1 2971 
boundaries Solar_eclipse_of_August_21,_2017.txt 1 1342 
outside Solar_eclipse_of_August_21,_2017.txt 2 1337 4682 
moons Solar_eclipse_of_August_21,_2017.txt 2 1592 4776 
reading Solar_eclipse_of_August_21,_2017.txt 1 4949 
across Solar_eclipse_of_August_21,_2017.txt 5 123 951 1358 1706 3205 
august Solar_eclipse_of_August_21,_2017.txt 13 3 11 383 956 1159 2453 3325 3610 3771 3785 4600 4730 4960 
jets Solar_eclipse_of_August_21,_2017.txt 1 1649 
article Solar_eclipse_of_August_21,_2017.txt 1 4541 
cities Solar_eclipse_of_August_21,_2017.txt 3 1083 1109 2997 
postage Solar_eclipse_of_August_21,_2017.txt 1 4561 
reaction Solar_eclipse_of_August_21,_2017.txt 1 108 
anadyr Solar_eclipse_of_August_21,_2017.txt 1 1463 
libya Solar_eclipse_of_August_21,_2017.txt 1 4616 
many Solar_eclipse_of_August_21,_2017.txt 7 915 1670 1675 2201 2822 3340 3370 
personal Solar_eclipse_of_August_21,_2017.txt 2 297 3275 
tour Solar_eclipse_of_August_21,_2017.txt 1 2066 
4:20 Solar_eclipse_of_August_21,_2017.txt 1 263 
grooming Solar_eclipse_of_August_21,_2017.txt 1 2097 
comes Solar_eclipse_of_August_21,_2017.txt 1 2742 
color Solar_eclipse_of_August_21,_2017.txt 1 2609 
period Solar_eclipse_of_August_21,_2017.txt 1 525 
60 Solar_eclipse_of_August_21,_2017.txt 1 1908 
64 Solar_eclipse_of_August_21,_2017.txt 1 2938 
68 Solar_eclipse_of_August_21,_2017.txt 1 3787 
69 Solar_eclipse_of_August_21,_2017.txt 1 4262 
3009 Solar_eclipse_of_August_21,_2017.txt 1 4858 
considering Solar_eclipse_of_August_21,_2017.txt 1 2019 
symptoms Solar_eclipse_of_August_21,_2017.txt 2 2536 2576 
stretch Solar_eclipse_of_August_21,_2017.txt 1 3636 
west Solar_eclipse_of_August_21,_2017.txt 5 778 1563 1570 2988 4478 
mars Solar_eclipse_of_August_21,_2017.txt 1 782 
borders Solar_eclipse_of_August_21,_2017.txt 1 4692 
sentinel Solar_eclipse_of_August_21,_2017.txt 2 3944 4103 
direction Solar_eclipse_of_August_21,_2017.txt 1 1997 
lanes Solar_eclipse_of_August_21,_2017.txt 1 3332 
offered Solar_eclipse_of_August_21,_2017.txt 2 1894 3792 
formed Solar_eclipse_of_August_21,_2017.txt 1 4677 
andrew Solar_eclipse_of_August_21,_2017.txt 1 2375 
external Solar_eclipse_of_August_21,_2017.txt 1 4951 
declaration Solar_eclipse_of_August_21,_2017.txt 1 999 
hidden Solar_eclipse_of_August_21,_2017.txt 1 4968 
those Solar_eclipse_of_August_21,_2017.txt 3 1486 3599 4097 
case Solar_eclipse_of_August_21,_2017.txt 1 2692 
pocatello Solar_eclipse_of_August_21,_2017.txt 2 3519 3555 
sweetwater Solar_eclipse_of_August_21,_2017.txt 1 4037 
good Solar_eclipse_of_August_21,_2017.txt 1 2421 
affected Solar_eclipse_of_August_21,_2017.txt 1 3153 
northward Solar_eclipse_of_August_21,_2017.txt 1 3689 
antisnake Solar_eclipse_of_August_21,_2017.txt 1 3099 
s Solar_eclipse_of_August_21,_2017.txt 3 662 1303 4362 
same Solar_eclipse_of_August_21,_2017.txt 4 2335 3363 4735 4901 
events Solar_eclipse_of_August_21,_2017.txt 4 198 1207 4100 4802 
investigated Solar_eclipse_of_August_21,_2017.txt 1 3146 
prominences Solar_eclipse_of_August_21,_2017.txt 1 1240 
running Solar_eclipse_of_August_21,_2017.txt 1 2107 
37350n Solar_eclipse_of_August_21,_2017.txt 1 571 
complained Solar_eclipse_of_August_21,_2017.txt 1 2050 
vantage Solar_eclipse_of_August_21,_2017.txt 1 1676 
tracking Solar_eclipse_of_August_21,_2017.txt 1 1824 
pennsylvania Solar_eclipse_of_August_21,_2017.txt 1 2439 
severe Solar_eclipse_of_August_21,_2017.txt 1 3566 
without Solar_eclipse_of_August_21,_2017.txt 3 2016 2293 4691 
reward Solar_eclipse_of_August_21,_2017.txt 1 1892 
bodies Solar_eclipse_of_August_21,_2017.txt 1 748 
being Solar_eclipse_of_August_21,_2017.txt 4 863 1060 1307 2907 
when Solar_eclipse_of_August_21,_2017.txt 6 2558 2700 2848 4449 4472 4576 
rest Solar_eclipse_of_August_21,_2017.txt 4 161 1507 2714 3558 
reputable Solar_eclipse_of_August_21,_2017.txt 2 2318 2349 
captured Solar_eclipse_of_August_21,_2017.txt 1 733 
rental Solar_eclipse_of_August_21,_2017.txt 1 2815 
lensrentals Solar_eclipse_of_August_21,_2017.txt 1 2812 
4 Solar_eclipse_of_August_21,_2017.txt 3 4372 4767 4813 
extensive Solar_eclipse_of_August_21,_2017.txt 3 2831 3453 4252 
7:25 Solar_eclipse_of_August_21,_2017.txt 1 275 
skies Solar_eclipse_of_August_21,_2017.txt 1 542 
kingdom Solar_eclipse_of_August_21,_2017.txt 1 2670 
around Solar_eclipse_of_August_21,_2017.txt 2 4240 4371 
virginia Solar_eclipse_of_August_21,_2017.txt 1 890 
early Solar_eclipse_of_August_21,_2017.txt 1 3839 
traffic Solar_eclipse_of_August_21,_2017.txt 30 1321 2179 3177 3181 3203 3258 3376 3388 3431 3445 3454 3485 3567 3642 3671 3718 3734 3766 3821 3850 3884 3913 3933 3947 3996 4021 4057 4092 4219 4250 
using Solar_eclipse_of_August_21,_2017.txt 2 1632 2002 
lady Solar_eclipse_of_August_21,_2017.txt 1 1982 
tsunami Solar_eclipse_of_August_21,_2017.txt 1 4090 
event"eclipse Solar_eclipse_of_August_21,_2017.txt 1 1742 
reduced Solar_eclipse_of_August_21,_2017.txt 1 4459 
exposed Solar_eclipse_of_August_21,_2017.txt 1 2859 
pacific Solar_eclipse_of_August_21,_2017.txt 6 41 475 534 920 969 1188 
cancel Solar_eclipse_of_August_21,_2017.txt 1 2057 
images Solar_eclipse_of_August_21,_2017.txt 6 731 4623 4635 4653 4663 4669 
provided Solar_eclipse_of_August_21,_2017.txt 1 1818 
thermochromic Solar_eclipse_of_August_21,_2017.txt 1 4558 
caribbean Solar_eclipse_of_August_21,_2017.txt 2 1407 1422 
conservative Solar_eclipse_of_August_21,_2017.txt 1 3815 
exit Solar_eclipse_of_August_21,_2017.txt 1 3626 
lunar Solar_eclipse_of_August_21,_2017.txt 2 1934 4725 
moderate Solar_eclipse_of_August_21,_2017.txt 1 1946 
metropolis Solar_eclipse_of_August_21,_2017.txt 1 1117 
scientific Solar_eclipse_of_August_21,_2017.txt 2 1588 1835 
power Solar_eclipse_of_August_21,_2017.txt 8 4295 4304 4339 4403 4469 4515 4522 4535 
seconds Solar_eclipse_of_August_21,_2017.txt 5 568 858 868 2782 4878 
equivalent Solar_eclipse_of_August_21,_2017.txt 1 4060 
notable Solar_eclipse_of_August_21,_2017.txt 2 4922 4934 
