all St_Ives,_Cornwall.txt 1 2828 
providing St_Ives,_Cornwall.txt 1 1419 
powers St_Ives,_Cornwall.txt 1 1682 
urano St_Ives,_Cornwall.txt 1 2088 
result St_Ives,_Cornwall.txt 1 963 
and St_Ives,_Cornwall.txt 106 44 54 85 112 155 205 228 270 299 366 492 513 574 674 686 776 798 854 895 1016 1022 1048 1093 1130 1226 1237 1273 1289 1296 1301 1314 1340 1370 1433 1451 1511 1575 1618 1628 1671 1694 1698 1742 1767 1796 1848 1871 1892 1896 1917 1929 1967 1969 1986 2013 2021 2053 2068 2071 2109 2112 2119 2122 2138 2147 2157 2160 2167 2181 2213 2227 2236 2268 2292 2316 2334 2398 2409 2415 2439 2476 2482 2550 2557 2598 2619 2690 2704 2715 2729 2761 2789 2796 2883 2919 2926 2954 2962 3143 3159 3172 3178 3189 3199 3217 3245 
newquay St_Ives,_Cornwall.txt 1 3188 
oclock St_Ives,_Cornwall.txt 1 862 
ran St_Ives,_Cornwall.txt 1 1037 
modern St_Ives,_Cornwall.txt 3 957 2656 3263 
turned St_Ives,_Cornwall.txt 1 910 
locations St_Ives,_Cornwall.txt 1 688 
1972 St_Ives,_Cornwall.txt 1 2118 
headland St_Ives,_Cornwall.txt 2 1225 1912 
have St_Ives,_Cornwall.txt 4 286 1134 1930 2851 
further St_Ives,_Cornwall.txt 1 3271 
seining St_Ives,_Cornwall.txt 2 575 582 
seen St_Ives,_Cornwall.txt 1 2033 
st St_Ives,_Cornwall.txt 106 0 21 27 29 35 114 123 151 163 174 179 206 268 332 349 374 422 432 493 544 555 566 701 726 734 820 898 945 969 975 1205 1214 1221 1283 1343 1366 1380 1462 1479 1489 1504 1512 1588 1598 1610 1644 1701 1743 1803 1846 1869 1908 1914 1918 1940 1987 2040 2049 2165 2186 2202 2266 2274 2338 2365 2420 2448 2468 2490 2536 2545 2578 2587 2590 2617 2643 2651 2672 2772 2775 2793 2800 2834 2878 2896 2920 2933 2948 2976 2982 3031 3050 3055 3059 3075 3084 3095 3115 3167 3179 3185 3194 3208 3220 3236 3243 
seek St_Ives,_Cornwall.txt 1 377 
linked St_Ives,_Cornwall.txt 1 3064 
contents St_Ives,_Cornwall.txt 1 165 
she St_Ives,_Cornwall.txt 1 2861 
opened St_Ives,_Cornwall.txt 3 2204 3090 3124 
mildest St_Ives,_Cornwall.txt 1 1294 
1968 St_Ives,_Cornwall.txt 1 2235 
built St_Ives,_Cornwall.txt 6 448 760 794 806 1000 1990 
latter St_Ives,_Cornwall.txt 1 1003 
able St_Ives,_Cornwall.txt 1 1813 
1962 St_Ives,_Cornwall.txt 1 2320 
situated St_Ives,_Cornwall.txt 1 1208 
rhyme St_Ives,_Cornwall.txt 1 2925 
other St_Ives,_Cornwall.txt 9 24 687 1604 1630 1934 2620 2640 2945 3160 
emphasis St_Ives,_Cornwall.txt 1 84 
materials St_Ives,_Cornwall.txt 1 1963 
demolished St_Ives,_Cornwall.txt 1 1944 
chairman St_Ives,_Cornwall.txt 1 1115 
which St_Ives,_Cornwall.txt 15 216 382 1011 1275 1359 1365 1386 1441 1536 1923 2525 2592 2781 3079 3123 
bus St_Ives,_Cornwall.txt 2 1427 3213 
responsibility St_Ives,_Cornwall.txt 1 2445 
hurling St_Ives,_Cornwall.txt 1 2633 
28 St_Ives,_Cornwall.txt 1 1101 
play St_Ives,_Cornwall.txt 2 2990 3036 
villages St_Ives,_Cornwall.txt 1 3173 
led St_Ives,_Cornwall.txt 2 2285 2312 
theatre St_Ives,_Cornwall.txt 1 2780 
centre St_Ives,_Cornwall.txt 1 2425 
footpaths St_Ives,_Cornwall.txt 1 1426 
who St_Ives,_Cornwall.txt 5 2230 2249 2560 2989 3035 
victoria St_Ives,_Cornwall.txt 2 2121 3157 
leave St_Ives,_Cornwall.txt 1 2459 
most St_Ives,_Cornwall.txt 4 437 1601 2263 2375 
congregational St_Ives,_Cornwall.txt 1 2023 
germany St_Ives,_Cornwall.txt 1 2257 
fore St_Ives,_Cornwall.txt 3 786 1714 2009 
undertaken St_Ives,_Cornwall.txt 1 1613 
services St_Ives,_Cornwall.txt 3 1692 3082 3150 
including St_Ives,_Cornwall.txt 1 2478 
class St_Ives,_Cornwall.txt 1 694 
kenzan St_Ives,_Cornwall.txt 1 2089 
takes St_Ives,_Cornwall.txt 1 2593 
released St_Ives,_Cornwall.txt 1 2971 
average St_Ives,_Cornwall.txt 2 647 1329 
later St_Ives,_Cornwall.txt 3 460 942 1045 
nicholson St_Ives,_Cornwall.txt 3 2159 2178 2318 
gabo St_Ives,_Cornwall.txt 1 2183 
scrambled St_Ives,_Cornwall.txt 1 930 
reflections St_Ives,_Cornwall.txt 1 2807 
baccalario St_Ives,_Cornwall.txt 1 2907 
dispersed St_Ives,_Cornwall.txt 1 384 
30,000 St_Ives,_Cornwall.txt 1 496 
typically St_Ives,_Cornwall.txt 1 1581 
wrecked St_Ives,_Cornwall.txt 1 936 
came St_Ives,_Cornwall.txt 3 266 615 987 
1928 St_Ives,_Cornwall.txt 1 2151 
called St_Ives,_Cornwall.txt 1 2947 
celebrated St_Ives,_Cornwall.txt 1 2676 
particularly St_Ives,_Cornwall.txt 1 250 
solar St_Ives,_Cornwall.txt 1 1075 
unified St_Ives,_Cornwall.txt 1 1639 
chances St_Ives,_Cornwall.txt 1 1176 
alexandra St_Ives,_Cornwall.txt 1 2996 
octagonal St_Ives,_Cornwall.txt 1 463 
papal St_Ives,_Cornwall.txt 1 1758 
anniversary St_Ives,_Cornwall.txt 1 2679 
south-east St_Ives,_Cornwall.txt 1 159 
britain St_Ives,_Cornwall.txt 3 1300 2327 3163 
planning St_Ives,_Cornwall.txt 2 1445 1456 
southwestern St_Ives,_Cornwall.txt 1 13 
font St_Ives,_Cornwall.txt 1 1820 
decade St_Ives,_Cornwall.txt 1 474 
principal St_Ives,_Cornwall.txt 3 485 1468 1605 
sharks St_Ives,_Cornwall.txt 1 1098 
busy St_Ives,_Cornwall.txt 2 327 571 
tier St_Ives,_Cornwall.txt 4 1375 1390 1664 3017 
northern St_Ives,_Cornwall.txt 1 1302 
title St_Ives,_Cornwall.txt 1 98 
series St_Ives,_Cornwall.txt 1 2901 
vicarage St_Ives,_Cornwall.txt 1 1874 
written St_Ives,_Cornwall.txt 1 2904 
should St_Ives,_Cornwall.txt 2 146 2561 
resident St_Ives,_Cornwall.txt 1 2876 
bernard St_Ives,_Cornwall.txt 2 2045 2051 
only St_Ives,_Cornwall.txt 2 925 1828 
1408 St_Ives,_Cornwall.txt 1 1751 
various St_Ives,_Cornwall.txt 1 1546 
partially St_Ives,_Cornwall.txt 1 1943 
local St_Ives,_Cornwall.txt 11 951 1345 1377 1423 1469 1485 1606 1666 2474 2727 2735 
achieve St_Ives,_Cornwall.txt 1 1773 
dispute St_Ives,_Cornwall.txt 1 2288 
wearing St_Ives,_Cornwall.txt 1 1571 
dates St_Ives,_Cornwall.txt 1 1537 
exports St_Ives,_Cornwall.txt 1 518 
his St_Ives,_Cornwall.txt 3 2129 2148 2255 
founding St_Ives,_Cornwall.txt 1 2585 
1312 St_Ives,_Cornwall.txt 1 233 
get St_Ives,_Cornwall.txt 1 1756 
dependent St_Ives,_Cornwall.txt 1 71 
1920 St_Ives,_Cornwall.txt 1 2062 
jazz St_Ives,_Cornwall.txt 1 2708 
stop St_Ives,_Cornwall.txt 1 3214 
6400 St_Ives,_Cornwall.txt 1 634 
maritime St_Ives,_Cornwall.txt 1 718 
coast St_Ives,_Cornwall.txt 4 60 444 691 1333 
famous St_Ives,_Cornwall.txt 1 2390 
122 St_Ives,_Cornwall.txt 1 528 
boathouse St_Ives,_Cornwall.txt 2 762 792 
christopher St_Ives,_Cornwall.txt 1 2161 
longest St_Ives,_Cornwall.txt 1 2688 
clubs St_Ives,_Cornwall.txt 1 3003 
international St_Ives,_Cornwall.txt 1 2731 
brittany St_Ives,_Cornwall.txt 1 3229 
during St_Ives,_Cornwall.txt 4 253 290 355 1001 
years St_Ives,_Cornwall.txt 2 2385 2532 
laguna St_Ives,_Cornwall.txt 1 3246 
tribute St_Ives,_Cornwall.txt 1 3013 
celebrate St_Ives,_Cornwall.txt 1 715 
catches St_Ives,_Cornwall.txt 1 508 
nicholas St_Ives,_Cornwall.txt 2 1909 1941 
1829 St_Ives,_Cornwall.txt 1 642 
progressive St_Ives,_Cornwall.txt 1 2401 
artist St_Ives,_Cornwall.txt 2 952 2154 
fc St_Ives,_Cornwall.txt 1 3034 
h St_Ives,_Cornwall.txt 1 1958 
whitetip St_Ives,_Cornwall.txt 1 1162 
bay St_Ives,_Cornwall.txt 5 900 971 1216 1509 3142 
influenced St_Ives,_Cornwall.txt 1 2853 
miles St_Ives,_Cornwall.txt 1 846 
naum St_Ives,_Cornwall.txt 1 2182 
recommendations St_Ives,_Cornwall.txt 1 1453 
through St_Ives,_Cornwall.txt 2 1336 1889 
where St_Ives,_Cornwall.txt 4 878 2093 2331 2860 
portreeve St_Ives,_Cornwall.txt 5 273 284 298 314 320 
virginia St_Ives,_Cornwall.txt 1 2804 
view St_Ives,_Cornwall.txt 2 2106 2856 
spotted St_Ives,_Cornwall.txt 1 1196 
europe St_Ives,_Cornwall.txt 1 1303 
seventeen St_Ives,_Cornwall.txt 1 610 
set St_Ives,_Cornwall.txt 3 588 2056 2345 
inns St_Ives,_Cornwall.txt 1 240 
september St_Ives,_Cornwall.txt 3 2674 2681 3234 
achieved St_Ives,_Cornwall.txt 1 510 
national St_Ives,_Cornwall.txt 3 757 1328 3152 
cuts St_Ives,_Cornwall.txt 1 1021 
observed St_Ives,_Cornwall.txt 1 559 
elected St_Ives,_Cornwall.txt 4 1362 1400 1493 1515 
see St_Ives,_Cornwall.txt 4 20 26 2745 3266 
full St_Ives,_Cornwall.txt 1 882 
1924 St_Ives,_Cornwall.txt 1 620 
are St_Ives,_Cornwall.txt 11 722 1235 1243 1360 1904 2002 2443 2765 2908 3187 3201 
sea St_Ives,_Cornwall.txt 2 64 2798 
seal St_Ives,_Cornwall.txt 2 330 680 
operated St_Ives,_Cornwall.txt 1 723 
close St_Ives,_Cornwall.txt 2 1197 1229 
bark St_Ives,_Cornwall.txt 1 365 
sport St_Ives,_Cornwall.txt 1 2974 
best St_Ives,_Cornwall.txt 3 100 136 2837 
vicars St_Ives,_Cornwall.txt 2 1836 1864 
oceanic St_Ives,_Cornwall.txt 2 1161 1287 
said St_Ives,_Cornwall.txt 4 1120 1173 2362 2849 
runs St_Ives,_Cornwall.txt 2 3080 3117 
reform St_Ives,_Cornwall.txt 1 1483 
purpose St_Ives,_Cornwall.txt 1 3132 
jenkin St_Ives,_Cornwall.txt 1 551 
away St_Ives,_Cornwall.txt 1 2304 
currently St_Ives,_Cornwall.txt 1 3008 
wikipedia St_Ives,_Cornwall.txt 1 3 
kameled St_Ives,_Cornwall.txt 1 3227 
mayor St_Ives,_Cornwall.txt 6 1553 1583 1593 2494 2501 2543 
libraries St_Ives,_Cornwall.txt 1 1700 
chapels St_Ives,_Cornwall.txt 2 1905 2006 
3 St_Ives,_Cornwall.txt 2 861 2602 
identification St_Ives,_Cornwall.txt 1 1129 
between St_Ives,_Cornwall.txt 2 1794 2289 
perranporth St_Ives,_Cornwall.txt 1 3204 
reading St_Ives,_Cornwall.txt 1 3272 
across St_Ives,_Cornwall.txt 1 897 
discovery St_Ives,_Cornwall.txt 1 2881 
arrival St_Ives,_Cornwall.txt 2 187 966 
recently St_Ives,_Cornwall.txt 1 692 
august St_Ives,_Cornwall.txt 1 1079 
helicopters St_Ives,_Cornwall.txt 1 3200 
nursery St_Ives,_Cornwall.txt 1 2924 
falmouth St_Ives,_Cornwall.txt 1 489 
however St_Ives,_Cornwall.txt 4 78 613 1600 1785 
paddington St_Ives,_Cornwall.txt 1 3067 
southeast St_Ives,_Cornwall.txt 1 18 
27 St_Ives,_Cornwall.txt 1 3126 
awards St_Ives,_Cornwall.txt 1 108 
key St_Ives,_Cornwall.txt 1 2413 
9000 St_Ives,_Cornwall.txt 1 652 
jets St_Ives,_Cornwall.txt 1 3197 
article St_Ives,_Cornwall.txt 3 5 733 3054 
porthminster St_Ives,_Cornwall.txt 1 1274 
gentler St_Ives,_Cornwall.txt 1 2636 
garden St_Ives,_Cornwall.txt 2 2216 2442 
both St_Ives,_Cornwall.txt 2 110 1357 
climate St_Ives,_Cornwall.txt 1 1288 
last St_Ives,_Cornwall.txt 1 1407 
met St_Ives,_Cornwall.txt 3 880 2096 2163 
lifeboat St_Ives,_Cornwall.txt 8 730 736 738 745 758 822 852 3219 
many St_Ives,_Cornwall.txt 4 226 2734 2756 2763 
invited St_Ives,_Cornwall.txt 1 271 
infinitely St_Ives,_Cornwall.txt 1 2399 
attributed St_Ives,_Cornwall.txt 1 182 
display St_Ives,_Cornwall.txt 1 2464 
hamada St_Ives,_Cornwall.txt 2 2055 2098 
april St_Ives,_Cornwall.txt 2 161 1625 
roman St_Ives,_Cornwall.txt 1 1979 
became St_Ives,_Cornwall.txt 1 3100 
figures St_Ives,_Cornwall.txt 2 2414 2802 
dated St_Ives,_Cornwall.txt 1 230 
sketch St_Ives,_Cornwall.txt 1 2811 
500-seat St_Ives,_Cornwall.txt 1 2779 
railway St_Ives,_Cornwall.txt 7 982 1010 3057 3061 3098 3106 3121 
coach St_Ives,_Cornwall.txt 1 3154 
whole St_Ives,_Cornwall.txt 1 341 
asked St_Ives,_Cornwall.txt 1 282 
nearby St_Ives,_Cornwall.txt 3 679 3140 3170 
yearly St_Ives,_Cornwall.txt 1 646 
30th St_Ives,_Cornwall.txt 1 2678 
two-tier St_Ives,_Cornwall.txt 1 1350 
afterwards St_Ives,_Cornwall.txt 1 296 
headed St_Ives,_Cornwall.txt 1 889 
appeared St_Ives,_Cornwall.txt 1 2963 
smeatons St_Ives,_Cornwall.txt 2 470 1227 
format St_Ives,_Cornwall.txt 1 2637 
colony St_Ives,_Cornwall.txt 1 2174 
harbour St_Ives,_Cornwall.txt 10 661 742 947 1200 1218 1232 1268 2795 3210 3216 
sedding St_Ives,_Cornwall.txt 1 1959 
learning St_Ives,_Cornwall.txt 1 414 
village St_Ives,_Cornwall.txt 3 16 154 2913 
wider St_Ives,_Cornwall.txt 2 1241 1679 
proved St_Ives,_Cornwall.txt 1 767 
westwards St_Ives,_Cornwall.txt 1 890 
1927 St_Ives,_Cornwall.txt 1 2843 
100 St_Ives,_Cornwall.txt 1 845 
penwith St_Ives,_Cornwall.txt 4 12 1615 1627 2308 
smith St_Ives,_Cornwall.txt 1 2892 
decline St_Ives,_Cornwall.txt 1 75 
arts St_Ives,_Cornwall.txt 2 2111 2696 
raise St_Ives,_Cornwall.txt 1 2968 
albert St_Ives,_Cornwall.txt 1 2123 
attraction St_Ives,_Cornwall.txt 1 1027 
union St_Ives,_Cornwall.txt 1 3023 
west St_Ives,_Cornwall.txt 7 55 813 1332 2269 2659 2669 3016 
sara St_Ives,_Cornwall.txt 1 855 
bbc St_Ives,_Cornwall.txt 1 1083 
three St_Ives,_Cornwall.txt 4 590 893 1404 1705 
been St_Ives,_Cornwall.txt 6 456 708 1136 1931 1972 2852 
40,883 St_Ives,_Cornwall.txt 1 525 
much St_Ives,_Cornwall.txt 3 506 658 995 
elects St_Ives,_Cornwall.txt 1 1704 
contained St_Ives,_Cornwall.txt 1 2808 
poet St_Ives,_Cornwall.txt 1 2872 
living St_Ives,_Cornwall.txt 1 2884 
rebuilt St_Ives,_Cornwall.txt 1 1952 
walter St_Ives,_Cornwall.txt 2 398 953 
direction St_Ives,_Cornwall.txt 1 2085 
lived St_Ives,_Cornwall.txt 1 2333 
stationed St_Ives,_Cornwall.txt 1 747 
attacked St_Ives,_Cornwall.txt 1 1169 
painted St_Ives,_Cornwall.txt 1 2335 
organisations St_Ives,_Cornwall.txt 1 1424 
sunshine St_Ives,_Cornwall.txt 1 1321 
search St_Ives,_Cornwall.txt 1 864 
imaginable St_Ives,_Cornwall.txt 1 2841 
hms St_Ives,_Cornwall.txt 2 1035 1058 
anthony St_Ives,_Cornwall.txt 1 264 
rooftops St_Ives,_Cornwall.txt 1 2032 
lives St_Ives,_Cornwall.txt 1 2408 
jamess St_Ives,_Cornwall.txt 1 2537 
1867 St_Ives,_Cornwall.txt 2 754 778 
overseen St_Ives,_Cornwall.txt 1 1498 
catch St_Ives,_Cornwall.txt 1 625 
1868 St_Ives,_Cornwall.txt 1 547 
towns St_Ives,_Cornwall.txt 3 717 1449 3171 
general St_Ives,_Cornwall.txt 1 1393 
160 St_Ives,_Cornwall.txt 1 849 
argent St_Ives,_Cornwall.txt 1 335 
present St_Ives,_Cornwall.txt 1 1792 
buses St_Ives,_Cornwall.txt 1 3164 
novel St_Ives,_Cornwall.txt 1 2844 
abandoned St_Ives,_Cornwall.txt 1 1872 
external St_Ives,_Cornwall.txt 1 3274 
plain St_Ives,_Cornwall.txt 1 1966 
mount St_Ives,_Cornwall.txt 1 316 
lelant St_Ives,_Cornwall.txt 6 1507 1810 1838 1876 3119 3144 
provost St_Ives,_Cornwall.txt 3 262 301 309 
rectangular St_Ives,_Cornwall.txt 1 1968 
ives St_Ives,_Cornwall.txt 90 1 28 30 115 124 164 175 180 207 269 333 350 375 423 433 494 545 556 567 702 727 735 821 899 946 970 1206 1215 1222 1284 1344 1367 1381 1463 1480 1490 1505 1513 1589 1599 1611 1645 1702 1804 1847 1870 1915 2041 2050 2166 2187 2203 2267 2275 2339 2366 2421 2449 2469 2491 2546 2579 2588 2652 2673 2773 2776 2794 2801 2835 2879 2897 2921 2934 2949 2977 2983 3032 3051 3056 3060 3076 3096 3116 3168 3186 3209 3221 3237 3244 
while St_Ives,_Cornwall.txt 3 531 654 1239 
1980 St_Ives,_Cornwall.txt 1 2973 
replaced St_Ives,_Cornwall.txt 2 781 1636 
elections St_Ives,_Cornwall.txt 1 1408 
newspaper St_Ives,_Cornwall.txt 1 144 
fleet St_Ives,_Cornwall.txt 1 387 
coastguards St_Ives,_Cornwall.txt 1 1144 
philosophies St_Ives,_Cornwall.txt 1 2113 
launched St_Ives,_Cornwall.txt 1 859 
london St_Ives,_Cornwall.txt 3 2233 2403 3156 
remembering St_Ives,_Cornwall.txt 1 2823 
ive St_Ives,_Cornwall.txt 2 22 152 
seven St_Ives,_Cornwall.txt 1 815 
larger St_Ives,_Cornwall.txt 1 803 
ulysses St_Ives,_Cornwall.txt 1 2899 
century St_Ives,_Cornwall.txt 4 198 1008 1741 1834 
overspreading St_Ives,_Cornwall.txt 1 339 
vi St_Ives,_Cornwall.txt 1 2090 
is St_Ives,_Cornwall.txt 34 6 38 88 181 229 334 657 662 1207 1305 1325 1382 1387 1437 1442 1590 1650 1661 1672 1725 1965 2072 2577 2624 2649 2684 2749 2752 2848 2875 2978 3026 3063 3222 
site St_Ives,_Cornwall.txt 2 247 772 
titanic St_Ives,_Cornwall.txt 1 2970 
eighteen St_Ives,_Cornwall.txt 1 612 
twinning St_Ives,_Cornwall.txt 1 3206 
in St_Ives,_Cornwall.txt 97 11 17 46 65 76 82 109 121 158 162 183 195 241 351 452 472 511 515 537 546 619 632 664 740 748 751 753 777 785 788 800 818 826 869 983 1029 1063 1065 1181 1244 1299 1311 1379 1411 1447 1487 1534 1668 1750 1821 1829 1856 1883 1949 1953 1991 2008 2061 2091 2131 2150 2175 2185 2192 2234 2258 2265 2281 2295 2298 2319 2326 2337 2347 2418 2465 2512 2634 2680 2697 2720 2755 2803 2809 2877 2895 2910 2950 2964 2972 3004 3012 3037 3091 3107 3162 3228 
ia St_Ives,_Cornwall.txt 7 33 192 1729 1988 2591 2613 2618 
ivy St_Ives,_Cornwall.txt 1 337 
sigillum St_Ives,_Cornwall.txt 1 347 
tourist St_Ives,_Cornwall.txt 3 672 1026 1309 
mako St_Ives,_Cornwall.txt 1 1139 
memorial St_Ives,_Cornwall.txt 1 173 
borough St_Ives,_Cornwall.txt 5 1464 1526 1558 1563 1596 
italy St_Ives,_Cornwall.txt 1 629 
combination St_Ives,_Cornwall.txt 1 3040 
concerts St_Ives,_Cornwall.txt 1 2762 
grant St_Ives,_Cornwall.txt 1 1420 
perhaps St_Ives,_Cornwall.txt 1 2574 
parish St_Ives,_Cornwall.txt 6 43 157 200 1477 1723 1808 
make St_Ives,_Cornwall.txt 2 1126 3242 
government St_Ives,_Cornwall.txt 4 1346 1378 1486 1667 
administration St_Ives,_Cornwall.txt 2 1341 1347 
s St_Ives,_Cornwall.txt 1 2806 
same St_Ives,_Cornwall.txt 1 403 
rebellion St_Ives,_Cornwall.txt 1 257 
fowey St_Ives,_Cornwall.txt 1 490 
sheltered St_Ives,_Cornwall.txt 1 1219 
largest St_Ives,_Cornwall.txt 1 596 
revival St_Ives,_Cornwall.txt 1 2657 
colonies St_Ives,_Cornwall.txt 1 681 
fill St_Ives,_Cornwall.txt 1 2821 
events St_Ives,_Cornwall.txt 3 2280 2764 2787 
daughters St_Ives,_Cornwall.txt 1 2564 
difficult St_Ives,_Cornwall.txt 1 771 
used St_Ives,_Cornwall.txt 1 1925 
centuries St_Ives,_Cornwall.txt 1 227 
closest St_Ives,_Cornwall.txt 1 1389 
catholic St_Ives,_Cornwall.txt 1 1980 
gallery St_Ives,_Cornwall.txt 2 1977 2199 
rail St_Ives,_Cornwall.txt 1 3071 
functions St_Ives,_Cornwall.txt 2 1548 1608 
attempted St_Ives,_Cornwall.txt 1 1754 
awarding St_Ives,_Cornwall.txt 1 1554 
pubs St_Ives,_Cornwall.txt 1 2757 
seamen St_Ives,_Cornwall.txt 1 2569 
statutory St_Ives,_Cornwall.txt 3 1363 1439 1652 
uses St_Ives,_Cornwall.txt 2 25 1935 
paynter St_Ives,_Cornwall.txt 1 2874 
consulted St_Ives,_Cornwall.txt 1 1443 
1978/1979 St_Ives,_Cornwall.txt 1 2951 
celtic St_Ives,_Cornwall.txt 1 63 
penzance St_Ives,_Cornwall.txt 4 53 491 3069 3177 
sacred St_Ives,_Cornwall.txt 2 1719 1984 
1977 St_Ives,_Cornwall.txt 1 2132 
com St_Ives,_Cornwall.txt 1 352 
1974 St_Ives,_Cornwall.txt 3 955 1461 1488 
well St_Ives,_Cornwall.txt 2 668 2615 
km/h St_Ives,_Cornwall.txt 1 850 
without St_Ives,_Cornwall.txt 1 1778 
greatest St_Ives,_Cornwall.txt 1 533 
english St_Ives,_Cornwall.txt 4 261 393 3021 3045 
claims St_Ives,_Cornwall.txt 1 1147 
the St_Ives,_Cornwall.txt 274 8 48 59 62 74 86 97 105 142 176 186 189 196 199 213 219 238 243 246 254 260 272 283 287 291 294 297 300 306 308 313 317 319 329 340 345 356 380 385 392 402 405 409 415 436 442 445 462 473 476 483 517 532 554 577 595 604 621 624 645 660 678 683 690 716 725 741 743 749 755 796 808 812 819 827 851 876 881 885 906 916 921 933 956 965 968 979 997 1002 1006 1009 1014 1019 1031 1040 1042 1067 1070 1074 1086 1094 1114 1117 1146 1170 1175 1178 1199 1210 1231 1245 1249 1254 1270 1293 1312 1327 1330 1337 1373 1383 1388 1392 1406 1414 1435 1448 1455 1467 1475 1482 1496 1500 1514 1524 1529 1557 1562 1577 1582 1585 1592 1595 1603 1619 1629 1662 1669 1683 1707 1718 1722 1737 1745 1752 1762 1779 1788 1791 1807 1816 1826 1835 1843 1851 1858 1863 1873 1881 1890 1894 1901 1911 1921 1927 1936 1946 1961 1975 1978 1983 2019 2035 2038 2047 2058 2075 2084 2103 2120 2133 2152 2169 2172 2197 2200 2205 2209 2217 2261 2273 2282 2290 2296 2300 2307 2340 2354 2364 2374 2379 2404 2407 2412 2430 2435 2444 2452 2455 2467 2493 2503 2510 2519 2522 2539 2542 2563 2584 2596 2614 2627 2650 2671 2687 2695 2698 2730 2768 2785 2797 2813 2831 2836 2846 2855 2869 2880 2898 2911 2922 2938 2952 2955 2957 2969 2979 2992 3001 3020 3038 3044 3066 3074 3087 3094 3103 3133 3137 3145 3181 3212 3215 3218 
bodies St_Ives,_Cornwall.txt 1 1364 
usual St_Ives,_Cornwall.txt 1 578 
summer St_Ives,_Cornwall.txt 2 1313 2832 
just St_Ives,_Cornwall.txt 2 3180 3195 
being St_Ives,_Cornwall.txt 4 325 1180 1805 2818 
warmest St_Ives,_Cornwall.txt 1 1297 
half St_Ives,_Cornwall.txt 1 1278 
domestic St_Ives,_Cornwall.txt 1 2483 
obtain St_Ives,_Cornwall.txt 1 1815 
rest St_Ives,_Cornwall.txt 1 565 
civic St_Ives,_Cornwall.txt 1 2609 
schools St_Ives,_Cornwall.txt 1 1697 
fishing St_Ives,_Cornwall.txt 11 73 77 418 428 439 572 581 656 673 697 2480 
sabbatical St_Ives,_Cornwall.txt 1 2325 
using St_Ives,_Cornwall.txt 1 1576 
rugby St_Ives,_Cornwall.txt 3 2984 3006 3022 
1963 St_Ives,_Cornwall.txt 1 2348 
captured St_Ives,_Cornwall.txt 1 390 
based St_Ives,_Cornwall.txt 1 2909 
like St_Ives,_Cornwall.txt 1 1643 
widest St_Ives,_Cornwall.txt 1 2691 
also St_Ives,_Cornwall.txt 11 1135 1315 1519 1591 2003 2095 3027 3135 3147 3165 3267 
ease St_Ives,_Cornwall.txt 1 1802 
point St_Ives,_Cornwall.txt 2 941 2104 
royal St_Ives,_Cornwall.txt 3 119 756 1032 
airfield St_Ives,_Cornwall.txt 1 3205 
belongs St_Ives,_Cornwall.txt 1 468 
parents St_Ives,_Cornwall.txt 1 2865 
exhibition St_Ives,_Cornwall.txt 1 2127 
has St_Ives,_Cornwall.txt 15 125 455 707 1023 1256 1276 1285 1290 1348 1416 1491 1970 2471 2777 3148 
clouded St_Ives,_Cornwall.txt 1 1091 
cornish St_Ives,_Cornwall.txt 8 31 486 1632 2153 2632 2870 2939 3005 
ashore St_Ives,_Cornwall.txt 2 931 1062 
photochrom St_Ives,_Cornwall.txt 1 420 
charters St_Ives,_Cornwall.txt 1 3198 
troika St_Ives,_Cornwall.txt 1 2343 
february St_Ives,_Cornwall.txt 1 2603 
early St_Ives,_Cornwall.txt 3 168 828 3256 
possibly St_Ives,_Cornwall.txt 1 1955 
traffic St_Ives,_Cornwall.txt 1 1431 
propeller St_Ives,_Cornwall.txt 2 903 1053 
cape St_Ives,_Cornwall.txt 1 872 
piet St_Ives,_Cornwall.txt 1 2225 
unique St_Ives,_Cornwall.txt 1 699 
pier St_Ives,_Cornwall.txt 3 446 814 1228 
name St_Ives,_Cornwall.txt 1 204 
gallows St_Ives,_Cornwall.txt 3 288 307 318 
lost St_Ives,_Cornwall.txt 1 915 
sizes St_Ives,_Cornwall.txt 2 594 603 
patrick St_Ives,_Cornwall.txt 1 1088 
seaside St_Ives,_Cornwall.txt 7 9 40 93 102 137 958 993 
riddle St_Ives,_Cornwall.txt 1 2927 
annually St_Ives,_Cornwall.txt 1 498 
individuals St_Ives,_Cornwall.txt 1 1560 
hosts St_Ives,_Cornwall.txt 1 2782 
either St_Ives,_Cornwall.txt 1 1137 
occasions St_Ives,_Cornwall.txt 1 1566 
popular St_Ives,_Cornwall.txt 3 92 1308 2790 
become St_Ives,_Cornwall.txt 3 126 1024 1520 
works St_Ives,_Cornwall.txt 1 2410 
reduced St_Ives,_Cornwall.txt 1 659 
5,600 St_Ives,_Cornwall.txt 1 541 
right St_Ives,_Cornwall.txt 3 1817 1852 1859 
old St_Ives,_Cornwall.txt 1 1962 
often St_Ives,_Cornwall.txt 1 666 
classical St_Ives,_Cornwall.txt 1 2710 
people St_Ives,_Cornwall.txt 1 3254 
landfall St_Ives,_Cornwall.txt 1 1072 
warspite St_Ives,_Cornwall.txt 1 395 
belonged St_Ives,_Cornwall.txt 1 2271 
church St_Ives,_Cornwall.txt 8 201 1713 1716 1724 1766 1793 1882 1981 
some St_Ives,_Cornwall.txt 3 1291 2372 2783 
back St_Ives,_Cornwall.txt 1 1538 
